start time is: 2017-12-18 21:18:16
this experiment hyperparameters are:
LEARNING_RATE = 0.01
BATCH_SIZE = 16
NUM_EPOCHES = 300
model_file :/media/wangchen/newdata1/wangchen/work/Indoor/models/best_model.pkl

	#####其余要说明的事项#####这次实验是微调place预训练的权重。

Epoch 71: Train cost 0.00233941921033, Train acc 0.999067164179, test acc 0.764179104478
Epoch 72: Train cost 0.00162752741016, Train acc 0.999253731343, test acc 0.761940298507
Epoch 73: Train cost 0.00315195415169, Train acc 0.998507462687, test acc 0.763432835821
Epoch 74: Train cost 0.00234531401657, Train acc 0.998507462687, test acc 0.767164179104
Epoch 75: Train cost 0.00359743530862, Train acc 0.998320895522, test acc 0.763432835821
Epoch 76: Train cost 0.00310288090259, Train acc 0.998134328358, test acc 0.763432835821
Epoch 77: Train cost 0.00323986727744, Train acc 0.998320895522, test acc 0.759701492537
Epoch 78: Train cost 0.00216550007463, Train acc 0.998694029851, test acc 0.765671641791
Epoch 79: Train cost 0.00223743845709, Train acc 0.999067164179, test acc 0.761940298507
Epoch 80: Train cost 0.00213035172783, Train acc 0.998880597015, test acc 0.762686567164
Epoch 81: Train cost 0.00277801905759, Train acc 0.998507462687, test acc 0.760447761194
Epoch 82: Train cost 0.00188598653767, Train acc 0.999253731343, test acc 0.760447761194
Epoch 83: Train cost 0.0019946298562, Train acc 0.998880597015, test acc 0.764179104478
Epoch 84: Train cost 0.00260536721908, Train acc 0.998507462687, test acc 0.758955223881
Epoch 85: Train cost 0.00203150417656, Train acc 0.999067164179, test acc 0.759701492537
Epoch 86: Train cost 0.00242175557651, Train acc 0.998134328358, test acc 0.760447761194
Epoch 87: Train cost 0.00192846753635, Train acc 0.998880597015, test acc 0.761194029851
Epoch 88: Train cost 0.00232108845375, Train acc 0.998694029851, test acc 0.762686567164
Epoch 89: Train cost 0.00245267455466, Train acc 0.998320895522, test acc 0.763432835821
Epoch 90: Train cost 0.00199488271028, Train acc 0.999067164179, test acc 0.761940298507
Epoch 91: Train cost 0.00244168029167, Train acc 0.998320895522, test acc 0.766417910448
Epoch 92: Train cost 0.00284192455001, Train acc 0.998320895522, test acc 0.760447761194
Epoch 93: Train cost 0.00196080608293, Train acc 0.999067164179, test acc 0.761940298507
Epoch 94: Train cost 0.00252141105011, Train acc 0.998507462687, test acc 0.758208955224
Epoch 95: Train cost 0.00196957401931, Train acc 0.999067164179, test acc 0.759701492537
Epoch 96: Train cost 0.00249242107384, Train acc 0.998507462687, test acc 0.761194029851
Epoch 97: Train cost 0.00187959033065, Train acc 0.998880597015, test acc 0.759701492537
Epoch 98: Train cost 0.00259551103227, Train acc 0.998507462687, test acc 0.759701492537
Epoch 99: Train cost 0.00204539997503, Train acc 0.998694029851, test acc 0.762686567164
Epoch 100: Train cost 0.0016370828962, Train acc 0.999067164179, test acc 0.762686567164
Epoch 101: Train cost 0.00240181596018, Train acc 0.998320895522, test acc 0.757462686567
Epoch 102: Train cost 0.00311886938289, Train acc 0.998320895522, test acc 0.759701492537
