
start time is: 2018-01-18 11:13:37

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/0118train_1.conf
learning_rate = 0.00015
batch_size = 13
num_epoches = 100
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model_data_aug_1.pkl

其余要说明的事项 ：stn用于数据增广，复现0108train1方案，100个epoch，两个place，一个image。

Epoch 70: Train cost 0.100662298501, Train acc 0.998087686567, test acc 0.788059701493
Epoch 71: Train cost 0.0992826148868, Train acc 0.998507462687, test acc 0.787313432836
Epoch 72: Train cost 0.0986591503024, Train acc 0.998460820896, test acc 0.788059701493
Epoch 73: Train cost 0.0997980311513, Train acc 0.997994402985, test acc 0.788805970149
Epoch 74: Train cost 0.0997570827603, Train acc 0.998134328358, test acc 0.782089552239
Epoch 75: Train cost 0.0987251698971, Train acc 0.998320895522, test acc 0.791791044776
Epoch 76: Train cost 0.0982069149613, Train acc 0.998554104478, test acc 0.780597014925
Epoch 77: Train cost 0.0992171168327, Train acc 0.998507462687, test acc 0.788059701493
Epoch 78: Train cost 0.0988100394607, Train acc 0.998367537313, test acc 0.781343283582
Epoch 79: Train cost 0.0988471731544, Train acc 0.998460820896, test acc 0.785074626866
