
start time is: 2017-12-21 15:58:11

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1221train_2.conf
learning_rate = 0.001
batch_size = 12
num_epoches = 200
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：微调place预训练的权重,learning rate decay,l2正则化,增大batch_size。

Epoch 0: Train cost 2.65846800804, Train acc 0.368097014925, test acc 0.6
Epoch 1: Train cost 1.24912035465, Train acc 0.6625, test acc 0.672388059701
Epoch 2: Train cost 0.768885552883, Train acc 0.798694029851, test acc 0.663432835821
Epoch 3: Train cost 0.428359538317, Train acc 0.9, test acc 0.670149253731
Epoch 4: Train cost 0.317626953125, Train acc 0.933208955224, test acc 0.685820895522
Epoch 5: Train cost 0.243359178305, Train acc 0.957835820896, test acc 0.626865671642
Epoch 6: Train cost 0.190303489566, Train acc 0.972201492537, test acc 0.679850746269
Epoch 7: Train cost 0.188384518027, Train acc 0.973134328358, test acc 0.688059701493
Epoch 8: Train cost 0.149196878076, Train acc 0.985074626866, test acc 0.674626865672
Epoch 9: Train cost 0.145315974951, Train acc 0.986567164179, test acc 0.701492537313
Epoch 10: Train cost 0.145705729723, Train acc 0.98526119403, test acc 0.644776119403
Epoch 11: Train cost 0.131225124002, Train acc 0.990111940299, test acc 0.708955223881
Epoch 12: Train cost 0.114510402083, Train acc 0.994776119403, test acc 0.69552238806
Epoch 13: Train cost 0.12158998847, Train acc 0.993097014925, test acc 0.689552238806
Epoch 14: Train cost 0.110315017402, Train acc 0.995335820896, test acc 0.681343283582
Epoch 15: Train cost 0.11543777585, Train acc 0.99421641791, test acc 0.710447761194
Epoch 16: Train cost 0.101778186858, Train acc 0.998134328358, test acc 0.702985074627
Epoch 17: Train cost 0.11063823849, Train acc 0.996641791045, test acc 0.705223880597
Epoch 18: Train cost 0.105337969959, Train acc 0.996828358209, test acc 0.696268656716
Epoch 19: Train cost 0.101938508451, Train acc 0.998134328358, test acc 0.720149253731
Epoch 20: Train cost 0.10383117944, Train acc 0.997947761194, test acc 0.710447761194
Epoch 21: Train cost 0.103140152991, Train acc 0.997014925373, test acc 0.702985074627
Epoch 22: Train cost 0.102321542799, Train acc 0.997201492537, test acc 0.717164179104
Epoch 23: Train cost 0.103408798575, Train acc 0.997388059701, test acc 0.726865671642
Epoch 24: Train cost 0.104234956205, Train acc 0.996828358209, test acc 0.696268656716
Epoch 25: Train cost 0.099162876606, Train acc 0.998507462687, test acc 0.708208955224
Epoch 26: Train cost 0.0978843942285, Train acc 0.998880597015, test acc 0.720149253731
Epoch 27: Train cost 0.0972713008523, Train acc 0.999067164179, test acc 0.728358208955
Epoch 28: Train cost 0.10010253638, Train acc 0.998134328358, test acc 0.731343283582
Epoch 29: Train cost 0.0991413891315, Train acc 0.998694029851, test acc 0.731343283582
Epoch 30: Train cost 0.0989263057709, Train acc 0.998320895522, test acc 0.739552238806
Epoch 31: Train cost 0.099507458508, Train acc 0.998507462687, test acc 0.741044776119
Epoch 32: Train cost 0.0969529747963, Train acc 0.998880597015, test acc 0.741044776119
Epoch 33: Train cost 0.0990101993084, Train acc 0.998134328358, test acc 0.730597014925
Epoch 34: Train cost 0.0977753177285, Train acc 0.998694029851, test acc 0.732089552239
Epoch 35: Train cost 0.0972000733018, Train acc 0.998880597015, test acc 0.730597014925
Epoch 36: Train cost 0.0982782021165, Train acc 0.998507462687, test acc 0.732835820896
Epoch 37: Train cost 0.0975096672773, Train acc 0.998507462687, test acc 0.731343283582
Epoch 38: Train cost 0.0972864404321, Train acc 0.998694029851, test acc 0.726119402985
Epoch 39: Train cost 0.0970844700933, Train acc 0.998694029851, test acc 0.737313432836
Epoch 40: Train cost 0.0981956496835, Train acc 0.998320895522, test acc 0.717910447761
Epoch 41: Train cost 0.101899623871, Train acc 0.997388059701, test acc 0.718656716418
Epoch 42: Train cost 0.0984037294984, Train acc 0.998507462687, test acc 0.728358208955
Epoch 43: Train cost 0.0979738533497, Train acc 0.998134328358, test acc 0.726865671642
Epoch 44: Train cost 0.0961151644588, Train acc 0.999067164179, test acc 0.738805970149
Epoch 45: Train cost 0.0974843725562, Train acc 0.998880597015, test acc 0.740298507463
Epoch 46: Train cost 0.0983801186085, Train acc 0.998134328358, test acc 0.724626865672
Epoch 47: Train cost 0.0979039371014, Train acc 0.998320895522, test acc 0.724626865672
Epoch 48: Train cost 0.0974509418011, Train acc 0.998134328358, test acc 0.732089552239
Epoch 49: Train cost 0.0977421477437, Train acc 0.998507462687, test acc 0.732089552239
Epoch 50: Train cost 0.0963108688593, Train acc 0.999067164179, test acc 0.732835820896
Epoch 51: Train cost 0.0967066586018, Train acc 0.998880597015, test acc 0.733582089552
Epoch 52: Train cost 0.0975539237261, Train acc 0.998880597015, test acc 0.729850746269
Epoch 53: Train cost 0.0968441218138, Train acc 0.998880597015, test acc 0.723134328358
Epoch 54: Train cost 0.0983445197344, Train acc 0.998507462687, test acc 0.731343283582
Epoch 55: Train cost 0.0968352630734, Train acc 0.998694029851, test acc 0.737313432836
Epoch 56: Train cost 0.0970160141587, Train acc 0.998880597015, test acc 0.731343283582
Epoch 57: Train cost 0.0965371504426, Train acc 0.998880597015, test acc 0.731343283582
Epoch 58: Train cost 0.0967874974012, Train acc 0.998694029851, test acc 0.729104477612
Epoch 59: Train cost 0.0966158732772, Train acc 0.998880597015, test acc 0.731343283582
Epoch 60: Train cost 0.0978346690536, Train acc 0.998694029851, test acc 0.738805970149
Epoch 61: Train cost 0.0972279310226, Train acc 0.998320895522, test acc 0.741791044776
Epoch 62: Train cost 0.0971101224422, Train acc 0.998507462687, test acc 0.732835820896
Epoch 63: Train cost 0.0962438583374, Train acc 0.999067164179, test acc 0.734328358209
Epoch 64: Train cost 0.0963181182742, Train acc 0.999067164179, test acc 0.726119402985
Epoch 65: Train cost 0.096733994782, Train acc 0.998694029851, test acc 0.730597014925
Epoch 66: Train cost 0.0961638838053, Train acc 0.999253731343, test acc 0.732089552239
Epoch 67: Train cost 0.0968341529369, Train acc 0.998507462687, test acc 0.733582089552
Epoch 68: Train cost 0.096550449729, Train acc 0.998694029851, test acc 0.735820895522
Epoch 69: Train cost 0.0967896580696, Train acc 0.998694029851, test acc 0.732835820896
Epoch 70: Train cost 0.0975738614798, Train acc 0.998320895522, test acc 0.735074626866
Epoch 71: Train cost 0.0963820368052, Train acc 0.999067164179, test acc 0.738805970149
Epoch 72: Train cost 0.0961483120918, Train acc 0.998694029851, test acc 0.732089552239
Epoch 73: Train cost 0.0963992252946, Train acc 0.998320895522, test acc 0.732089552239
Epoch 74: Train cost 0.0963503792882, Train acc 0.998880597015, test acc 0.733582089552
Epoch 75: Train cost 0.0968634486198, Train acc 0.998507462687, test acc 0.735074626866
Epoch 76: Train cost 0.0972096920013, Train acc 0.998134328358, test acc 0.738059701493
Epoch 77: Train cost 0.0966121852398, Train acc 0.998320895522, test acc 0.744029850746
Epoch 78: Train cost 0.0963063240051, Train acc 0.998694029851, test acc 0.742537313433
Epoch 79: Train cost 0.0962626487017, Train acc 0.998694029851, test acc 0.740298507463
Epoch 80: Train cost 0.0958003252745, Train acc 0.999440298507, test acc 0.742537313433
Epoch 81: Train cost 0.0970053300261, Train acc 0.998320895522, test acc 0.737313432836
