
start time is: 2017-12-24 20:31:17

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1224train_2.conf
learning_rate = 0.01
batch_size = 16
num_epoches = 130
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model_2.pkl

其余要说明的事项 ：learning rate decay,l2正则化,增大batch_size。

Epoch 0: Train cost 7.55275774002, Train acc 0.263432835821, test acc 0.505223880597
global cost 4.30595254898, inc1 cost 4.96412849426, inc2 cost 4.87440156937
Epoch 1: Train cost 6.1342086792, Train acc 0.569776119403, test acc 0.671641791045
global cost 3.1514146328, inc1 cost 5.00430297852, inc2 cost 4.72703027725
Epoch 2: Train cost 5.65426921844, Train acc 0.675186567164, test acc 0.683582089552
global cost 2.32448577881, inc1 cost 5.03023910522, inc2 cost 4.73342609406
Epoch 3: Train cost 5.26827478409, Train acc 0.773134328358, test acc 0.672388059701
global cost 1.68503820896, inc1 cost 5.08204317093, inc2 cost 4.759557724
Epoch 4: Train cost 4.99992036819, Train acc 0.840671641791, test acc 0.694776119403
global cost 1.30384850502, inc1 cost 5.1175570488, inc2 cost 4.7870349884
Epoch 5: Train cost 4.79009771347, Train acc 0.900746268657, test acc 0.717910447761
global cost 0.929370045662, inc1 cost 5.17783880234, inc2 cost 4.78407526016
Epoch 6: Train cost 4.72373247147, Train acc 0.917910447761, test acc 0.697014925373
global cost 0.81286329031, inc1 cost 5.21482753754, inc2 cost 4.81966257095
Epoch 7: Train cost 5.28378486633, Train acc 0.809141791045, test acc 0.242537313433
global cost 1.38374769688, inc1 cost 5.38861989975, inc2 cost 4.94814538956
Epoch 8: Train cost 7.3653626442, Train acc 0.257649253731, test acc 0.35671641791
global cost 4.26006317139, inc1 cost 7.51866054535, inc2 cost 5.82481813431
Epoch 9: Train cost 6.86565876007, Train acc 0.375746268657, test acc 0.441044776119
global cost 4.23928880692, inc1 cost 8.3468542099, inc2 cost 6.10473632812
Epoch 10: Train cost 6.46669483185, Train acc 0.497388059701, test acc 0.5
global cost 4.21939182281, inc1 cost 8.82449531555, inc2 cost 6.24387550354
Epoch 11: Train cost 6.20502567291, Train acc 0.564552238806, test acc 0.518656716418
global cost 4.2119474411, inc1 cost 9.15306186676, inc2 cost 6.4825296402
Epoch 12: Train cost 5.93069648743, Train acc 0.631343283582, test acc 0.469402985075
global cost 4.20944070816, inc1 cost 9.97463989258, inc2 cost 6.80116033554
Epoch 13: Train cost 5.69410657883, Train acc 0.708208955224, test acc 0.534328358209
global cost 4.19281291962, inc1 cost 10.7814617157, inc2 cost 6.99647140503
Epoch 14: Train cost 5.46573495865, Train acc 0.767164179104, test acc 0.535820895522
global cost 4.17713975906, inc1 cost 11.4615364075, inc2 cost 7.34223651886
Epoch 15: Train cost 5.00161409378, Train acc 0.924253731343, test acc 0.592537313433
global cost 4.15750789642, inc1 cost 14.2538843155, inc2 cost 8.85739517212
Epoch 16: Train cost 4.90153932571, Train acc 0.953731343284, test acc 0.596268656716
global cost 4.14939785004, inc1 cost 16.755941391, inc2 cost 9.71189117432
Epoch 17: Train cost 4.87076187134, Train acc 0.9625, test acc 0.592537313433
global cost 4.14086818695, inc1 cost 16.7345676422, inc2 cost 9.95729827881
Epoch 18: Train cost 4.82883930206, Train acc 0.972201492537, test acc 0.583582089552
global cost 4.13850879669, inc1 cost 17.8664112091, inc2 cost 10.4855308533
Epoch 19: Train cost 4.80661916733, Train acc 0.977052238806, test acc 0.583582089552
global cost 4.12496328354, inc1 cost 18.4009799957, inc2 cost 10.9048576355
Epoch 20: Train cost 4.80225753784, Train acc 0.977052238806, test acc 0.590298507463
global cost 4.11303138733, inc1 cost 18.2427368164, inc2 cost 10.6688184738
Epoch 21: Train cost 4.77801895142, Train acc 0.982835820896, test acc 0.569402985075
global cost 4.10477209091, inc1 cost 18.7093830109, inc2 cost 11.1342372894
Epoch 22: Train cost 4.75637674332, Train acc 0.985820895522, test acc 0.584328358209
global cost 4.0979180336, inc1 cost 19.6796283722, inc2 cost 11.5523376465
Epoch 23: Train cost 4.7453918457, Train acc 0.987686567164, test acc 0.605223880597
global cost 4.09225511551, inc1 cost 19.7033004761, inc2 cost 11.410150528
Epoch 24: Train cost 4.73684072495, Train acc 0.988432835821, test acc 0.588059701493
global cost 4.08914279938, inc1 cost 20.1736240387, inc2 cost 11.4794654846
Epoch 25: Train cost 4.72760486603, Train acc 0.988246268657, test acc 0.59328358209
global cost 4.08384227753, inc1 cost 19.8483467102, inc2 cost 11.6105413437
Epoch 26: Train cost 4.71853351593, Train acc 0.990485074627, test acc 0.585074626866
global cost 4.07214832306, inc1 cost 19.9563732147, inc2 cost 10.9712629318
Epoch 27: Train cost 4.702647686, Train acc 0.990111940299, test acc 0.584328358209
global cost 4.0520529747, inc1 cost 20.2480621338, inc2 cost 11.6284894943
Epoch 28: Train cost 4.68771696091, Train acc 0.992164179104, test acc 0.589552238806
global cost 4.04398488998, inc1 cost 20.2529888153, inc2 cost 11.7450237274
Epoch 29: Train cost 4.68180704117, Train acc 0.991044776119, test acc 0.59552238806
global cost 4.02368164062, inc1 cost 20.9817371368, inc2 cost 12.6275787354
Epoch 30: Train cost 4.66555261612, Train acc 0.993843283582, test acc 0.596268656716
global cost 3.99765467644, inc1 cost 20.1990089417, inc2 cost 11.8390483856
Epoch 31: Train cost 4.65592575073, Train acc 0.995708955224, test acc 0.60447761194
global cost 3.9900302887, inc1 cost 21.1947040558, inc2 cost 12.0529546738
Epoch 32: Train cost 4.65302705765, Train acc 0.995708955224, test acc 0.601492537313
global cost 3.96354722977, inc1 cost 21.4647483826, inc2 cost 11.9929656982
Epoch 33: Train cost 4.64668893814, Train acc 0.995895522388, test acc 0.601492537313
global cost 3.95346283913, inc1 cost 22.020658493, inc2 cost 12.0579481125
Epoch 34: Train cost 4.64181280136, Train acc 0.996268656716, test acc 0.608208955224
global cost 3.95237135887, inc1 cost 22.0677204132, inc2 cost 12.3205633163
Epoch 35: Train cost 4.63414382935, Train acc 0.996455223881, test acc 0.601492537313
global cost 3.92260313034, inc1 cost 21.8815803528, inc2 cost 12.3725938797
Epoch 36: Train cost 4.631711483, Train acc 0.996082089552, test acc 0.59776119403
global cost 3.89397001266, inc1 cost 22.4987869263, inc2 cost 12.4559822083
Epoch 37: Train cost 4.62225294113, Train acc 0.997014925373, test acc 0.608955223881
global cost 3.85767030716, inc1 cost 23.0412425995, inc2 cost 12.222943306
Epoch 38: Train cost 4.6146979332, Train acc 0.996082089552, test acc 0.60223880597
