
start time is: 2017-12-24 20:31:17

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1224train_2.conf
learning_rate = 0.01
batch_size = 16
num_epoches = 130
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model_2.pkl

其余要说明的事项 ：learning rate decay,l2正则化,增大batch_size。
global cost 3.7984495163, inc1 cost 22.9139862061, inc2 cost 12.4304590225
Epoch 39: Train cost 4.60190010071, Train acc 0.997014925373, test acc 0.600746268657
global cost 3.68546676636, inc1 cost 21.985042572, inc2 cost 12.4961233139
Epoch 40: Train cost 4.57585763931, Train acc 0.997201492537, test acc 0.617164179104
global cost 3.47676515579, inc1 cost 22.1497001648, inc2 cost 12.4368438721
Epoch 41: Train cost 4.52821207047, Train acc 0.997947761194, test acc 0.633582089552
global cost 3.04181432724, inc1 cost 22.3266201019, inc2 cost 12.2843732834
Epoch 42: Train cost 4.46112966537, Train acc 0.996268656716, test acc 0.634328358209
global cost 2.37570810318, inc1 cost 22.0773620605, inc2 cost 12.2736530304
Epoch 43: Train cost 4.40128517151, Train acc 0.996828358209, test acc 0.64328358209
global cost 1.84286379814, inc1 cost 22.2966938019, inc2 cost 12.0795726776
Epoch 44: Train cost 4.36303901672, Train acc 0.997947761194, test acc 0.658208955224
global cost 1.49146711826, inc1 cost 22.1197910309, inc2 cost 12.2585906982
Epoch 45: Train cost 4.33681583405, Train acc 0.998507462687, test acc 0.661940298507
global cost 1.26878881454, inc1 cost 21.5881843567, inc2 cost 12.1688327789
Epoch 46: Train cost 4.33014440536, Train acc 0.998320895522, test acc 0.658955223881
global cost 1.19831562042, inc1 cost 21.6031837463, inc2 cost 12.2907114029
Epoch 47: Train cost 4.32144117355, Train acc 0.998507462687, test acc 0.666417910448
global cost 1.12604367733, inc1 cost 21.7739562988, inc2 cost 12.2782649994
Epoch 48: Train cost 4.31734514236, Train acc 0.998880597015, test acc 0.669402985075
global cost 1.08243250847, inc1 cost 21.4406375885, inc2 cost 12.163225174
Epoch 49: Train cost 4.30771923065, Train acc 0.998880597015, test acc 0.670149253731
global cost 1.0213047266, inc1 cost 21.4504261017, inc2 cost 12.243563652
Epoch 50: Train cost 4.30216836929, Train acc 0.999067164179, test acc 0.674626865672
global cost 0.980703353882, inc1 cost 21.473772049, inc2 cost 12.3911294937
Epoch 51: Train cost 4.29438495636, Train acc 0.998507462687, test acc 0.673134328358
global cost 0.902338624001, inc1 cost 21.635389328, inc2 cost 12.3326263428
Epoch 52: Train cost 4.29359006882, Train acc 0.997947761194, test acc 0.677611940299
global cost 0.891794860363, inc1 cost 21.0499000549, inc2 cost 12.4220743179
Epoch 53: Train cost 4.28630065918, Train acc 0.998694029851, test acc 0.678358208955
global cost 0.84899777174, inc1 cost 21.2046279907, inc2 cost 12.5319433212
Epoch 54: Train cost 4.28243303299, Train acc 0.998134328358, test acc 0.673880597015
global cost 0.804933488369, inc1 cost 21.0954647064, inc2 cost 12.5609550476
Epoch 55: Train cost 4.28154325485, Train acc 0.998134328358, test acc 0.676865671642
global cost 0.792045235634, inc1 cost 20.9279670715, inc2 cost 12.5127315521
Epoch 56: Train cost 4.27338409424, Train acc 0.999440298507, test acc 0.676865671642
global cost 0.747494578362, inc1 cost 21.1684894562, inc2 cost 12.4336633682
Epoch 57: Train cost 4.26704311371, Train acc 0.999067164179, test acc 0.677611940299
global cost 0.698893904686, inc1 cost 21.2082538605, inc2 cost 12.5134420395
Epoch 58: Train cost 4.2665848732, Train acc 0.998320895522, test acc 0.683582089552
global cost 0.690180242062, inc1 cost 21.1646213531, inc2 cost 12.6505184174
Epoch 59: Train cost 4.26507282257, Train acc 0.998694029851, test acc 0.680597014925
global cost 0.681205272675, inc1 cost 21.1733436584, inc2 cost 12.5717916489
Epoch 60: Train cost 4.25898885727, Train acc 0.998880597015, test acc 0.680597014925
global cost 0.638572216034, inc1 cost 21.2507629395, inc2 cost 12.6397094727
Epoch 61: Train cost 4.26053380966, Train acc 0.998134328358, test acc 0.679104477612
global cost 0.643748342991, inc1 cost 21.2126026154, inc2 cost 12.5562047958
Epoch 62: Train cost 4.26298284531, Train acc 0.998507462687, test acc 0.683582089552
global cost 0.655735373497, inc1 cost 21.0040817261, inc2 cost 12.630191803
Epoch 63: Train cost 4.25968265533, Train acc 0.998320895522, test acc 0.682835820896
global cost 0.640281677246, inc1 cost 20.9575500488, inc2 cost 12.5412197113
Epoch 64: Train cost 4.25626897812, Train acc 0.999067164179, test acc 0.684328358209
global cost 0.629333615303, inc1 cost 21.1523456573, inc2 cost 12.6028833389
Epoch 65: Train cost 4.25535345078, Train acc 0.998694029851, test acc 0.686567164179
global cost 0.619042396545, inc1 cost 20.7336139679, inc2 cost 12.5632305145
Epoch 66: Train cost 4.25597810745, Train acc 0.998880597015, test acc 0.687313432836
global cost 0.628624856472, inc1 cost 20.6697063446, inc2 cost 12.4370718002
Epoch 67: Train cost 4.25490665436, Train acc 0.998320895522, test acc 0.686567164179
global cost 0.601658761501, inc1 cost 20.854888916, inc2 cost 12.5810604095
Epoch 68: Train cost 4.25274610519, Train acc 0.998880597015, test acc 0.688059701493
global cost 0.612289428711, inc1 cost 20.6887531281, inc2 cost 12.4470996857
Epoch 69: Train cost 4.25157117844, Train acc 0.998880597015, test acc 0.685820895522
global cost 0.602530837059, inc1 cost 20.5977516174, inc2 cost 12.418056488
Epoch 70: Train cost 4.25357580185, Train acc 0.998507462687, test acc 0.686567164179
global cost 0.598250389099, inc1 cost 20.5103263855, inc2 cost 12.4302091599
Epoch 71: Train cost 4.25325918198, Train acc 0.998880597015, test acc 0.685074626866
global cost 0.619473516941, inc1 cost 20.6179904938, inc2 cost 12.4654169083
Epoch 72: Train cost 4.2495932579, Train acc 0.998320895522, test acc 0.687313432836
global cost 0.588971674442, inc1 cost 20.7198600769, inc2 cost 12.3993320465
Epoch 73: Train cost 4.24806022644, Train acc 0.999067164179, test acc 0.686567164179
global cost 0.576251208782, inc1 cost 20.6832027435, inc2 cost 12.5989522934
Epoch 74: Train cost 4.24830770493, Train acc 0.998134328358, test acc 0.685820895522
global cost 0.57275468111, inc1 cost 20.5762710571, inc2 cost 12.4523963928
Epoch 75: Train cost 4.24756765366, Train acc 0.999067164179, test acc 0.685074626866
global cost 0.576348900795, inc1 cost 20.5949707031, inc2 cost 12.5064020157
Epoch 76: Train cost 4.24773645401, Train acc 0.998507462687, test acc 0.686567164179
global cost 0.566112756729, inc1 cost 20.8119907379, inc2 cost 12.4640045166
Epoch 77: Train cost 4.24642276764, Train acc 0.999067164179, test acc 0.688059701493
global cost 0.575719118118, inc1 cost 20.7079792023, inc2 cost 12.5161237717
Epoch 78: Train cost 4.24619817734, Train acc 0.998880597015, test acc 0.688059701493
global cost 0.563479959965, inc1 cost 20.5303821564, inc2 cost 12.561917305
Epoch 79: Train cost 4.24399900436, Train acc 0.998320895522, test acc 0.688059701493
global cost 0.546633481979, inc1 cost 20.8336811066, inc2 cost 12.5770578384
Epoch 80: Train cost 4.24466276169, Train acc 0.998694029851, test acc 0.688059701493
global cost 0.554501533508, inc1 cost 20.5678901672, inc2 cost 12.3583898544
Epoch 81: Train cost 4.24646377563, Train acc 0.998320895522, test acc 0.690298507463
global cost 0.566924393177, inc1 cost 20.7680416107, inc2 cost 12.51948452
Epoch 82: Train cost 4.24565076828, Train acc 0.998320895522, test acc 0.690298507463
global cost 0.558845877647, inc1 cost 20.6892528534, inc2 cost 12.3904905319
Epoch 83: Train cost 4.24459314346, Train acc 0.998694029851, test acc 0.688805970149
global cost 0.555883586407, inc1 cost 20.5927124023, inc2 cost 12.5636882782
Epoch 84: Train cost 4.24143075943, Train acc 0.999253731343, test acc 0.688805970149
global cost 0.523573637009, inc1 cost 20.5448436737, inc2 cost 12.5864782333
Epoch 85: Train cost 4.2428817749, Train acc 0.998507462687, test acc 0.688059701493
global cost 0.539640903473, inc1 cost 20.6851348877, inc2 cost 12.5878267288
Epoch 86: Train cost 4.24320268631, Train acc 0.999253731343, test acc 0.688059701493
global cost 0.549982845783, inc1 cost 20.5561923981, inc2 cost 12.5655679703
Epoch 87: Train cost 4.24463033676, Train acc 0.998507462687, test acc 0.687313432836
global cost 0.550837934017, inc1 cost 20.9042396545, inc2 cost 12.5441408157
Epoch 88: Train cost 4.24303197861, Train acc 0.998694029851, test acc 0.688059701493
global cost 0.54595798254, inc1 cost 20.582988739, inc2 cost 12.5042572021
