
start time is: 2017-12-24 20:26:25

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1224train_1.conf
learning_rate = 0.01
batch_size = 13
num_epoches = 300
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：learning rate decay,l2正则化,增大batch_size。
Epoch 37: Train cost 3.77133655548, Train acc 0.997388059701, test acc 0.724626865672
global cost 0.0262852460146, inc1 cost 5.46553754807, inc2 cost 4.80909490585
Epoch 38: Train cost 3.74903607368, Train acc 0.998507462687, test acc 0.723134328358
global cost 0.0177494715899, inc1 cost 5.4113368988, inc2 cost 4.80357694626
Epoch 39: Train cost 3.73141980171, Train acc 0.998320895522, test acc 0.721641791045
global cost 0.0158473495394, inc1 cost 5.4216966629, inc2 cost 4.77513217926
Epoch 40: Train cost 3.71823430061, Train acc 0.997574626866, test acc 0.732835820896
global cost 0.0266403313726, inc1 cost 5.3927526474, inc2 cost 4.77529668808
Epoch 41: Train cost 3.69948482513, Train acc 0.998880597015, test acc 0.735074626866
global cost 0.0184889212251, inc1 cost 5.4030828476, inc2 cost 4.74075174332
Epoch 42: Train cost 3.68317341805, Train acc 0.998507462687, test acc 0.730597014925
global cost 0.0211257170886, inc1 cost 5.38309669495, inc2 cost 4.74315881729
Epoch 43: Train cost 3.66949105263, Train acc 0.997947761194, test acc 0.721641791045
global cost 0.0242951214314, inc1 cost 5.37028980255, inc2 cost 4.74445533752
Epoch 44: Train cost 3.65202689171, Train acc 0.998134328358, test acc 0.726865671642
global cost 0.0190999712795, inc1 cost 5.3420548439, inc2 cost 4.72501420975
Epoch 45: Train cost 3.63676786423, Train acc 0.998507462687, test acc 0.727611940299
global cost 0.0148690156639, inc1 cost 5.36560726166, inc2 cost 4.70634794235
Epoch 46: Train cost 3.61914896965, Train acc 0.998880597015, test acc 0.737313432836
global cost 0.0159151777625, inc1 cost 5.32474136353, inc2 cost 4.68568181992
Epoch 47: Train cost 3.60376811028, Train acc 0.998694029851, test acc 0.729850746269
global cost 0.0148425642401, inc1 cost 5.32922697067, inc2 cost 4.7242565155
Epoch 48: Train cost 3.59008383751, Train acc 0.998320895522, test acc 0.718656716418
global cost 0.0167838465422, inc1 cost 5.27613449097, inc2 cost 4.73887491226
Epoch 49: Train cost 3.57322645187, Train acc 0.998694029851, test acc 0.720149253731
global cost 0.0187285579741, inc1 cost 5.3063826561, inc2 cost 4.72383975983
Epoch 50: Train cost 3.56904983521, Train acc 0.996268656716, test acc 0.725373134328
global cost 0.0353879854083, inc1 cost 5.31440925598, inc2 cost 4.73688364029
Epoch 51: Train cost 3.54490828514, Train acc 0.998694029851, test acc 0.694776119403
global cost 0.0142218274996, inc1 cost 5.33805990219, inc2 cost 4.7994799614
Epoch 52: Train cost 3.53271865845, Train acc 0.998134328358, test acc 0.727611940299
global cost 0.0162263754755, inc1 cost 5.31456565857, inc2 cost 4.74854326248
Epoch 53: Train cost 3.51897192001, Train acc 0.999067164179, test acc 0.725373134328
global cost 0.0175560228527, inc1 cost 5.29497623444, inc2 cost 4.74402427673
Epoch 54: Train cost 3.5053589344, Train acc 0.998507462687, test acc 0.727611940299
global cost 0.0123676583171, inc1 cost 5.31535625458, inc2 cost 4.73687171936
Epoch 55: Train cost 3.49430298805, Train acc 0.998134328358, test acc 0.726119402985
global cost 0.0194502044469, inc1 cost 5.27406549454, inc2 cost 4.74412822723
Epoch 56: Train cost 3.4792599678, Train acc 0.998320895522, test acc 0.720149253731
global cost 0.0137133514509, inc1 cost 5.27093696594, inc2 cost 4.73429918289
Epoch 57: Train cost 3.46803188324, Train acc 0.99776119403, test acc 0.69552238806
