
start time is: 2017-12-20 19:25:10

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/1220train_2.conf
learning_rate = 0.001
batch_size = 5
num_epoches = 200
model_file :/home/ubuntu/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：微调place预训练的权重,learning rate decay,l2正则化。
Epoch 37: Train cost 0.103645555675, Train acc 0.998134328358, test acc 0.678358208955
global cost 5.85017538071, inc1 cost 4.21713876724, inc2 cost 4.21398544312
Epoch 38: Train cost 0.104215376079, Train acc 0.998507462687, test acc 0.673880597015
global cost 5.82589149475, inc1 cost 4.22218799591, inc2 cost 4.21310567856
Epoch 39: Train cost 0.104850709438, Train acc 0.997947761194, test acc 0.665671641791
global cost 5.76461267471, inc1 cost 4.2185382843, inc2 cost 4.21392297745
Epoch 40: Train cost 0.103340886533, Train acc 0.998507462687, test acc 0.673880597015
global cost 5.69723415375, inc1 cost 4.22017860413, inc2 cost 4.21601963043
Epoch 41: Train cost 0.102357305586, Train acc 0.999067164179, test acc 0.679104477612
global cost 5.73815727234, inc1 cost 4.21565008163, inc2 cost 4.21349716187
Epoch 42: Train cost 0.103061854839, Train acc 0.998694029851, test acc 0.677611940299
global cost 5.77610301971, inc1 cost 4.21942520142, inc2 cost 4.21582841873
Epoch 43: Train cost 0.102285839617, Train acc 0.999067164179, test acc 0.679850746269
global cost 5.85165166855, inc1 cost 4.2180352211, inc2 cost 4.21360301971
Epoch 44: Train cost 0.102551020682, Train acc 0.998507462687, test acc 0.679850746269
global cost 5.94086503983, inc1 cost 4.218354702, inc2 cost 4.21768426895
Epoch 45: Train cost 0.102435328066, Train acc 0.998694029851, test acc 0.678358208955
global cost 5.91958713531, inc1 cost 4.21711015701, inc2 cost 4.21634340286
Epoch 46: Train cost 0.103372655809, Train acc 0.998694029851, test acc 0.676865671642
global cost 5.9501619339, inc1 cost 4.21509790421, inc2 cost 4.21674823761
Epoch 47: Train cost 0.103244155645, Train acc 0.998320895522, test acc 0.666417910448
global cost 5.84808206558, inc1 cost 4.2179646492, inc2 cost 4.21818399429
Epoch 48: Train cost 0.103084422648, Train acc 0.998507462687, test acc 0.676119402985
global cost 5.82376670837, inc1 cost 4.21960544586, inc2 cost 4.21429681778
Epoch 49: Train cost 0.1018999964, Train acc 0.999253731343, test acc 0.679850746269
global cost 5.86068296432, inc1 cost 4.21822881699, inc2 cost 4.2153711319
Epoch 50: Train cost 0.102944545448, Train acc 0.998320895522, test acc 0.676865671642
global cost 5.89187765121, inc1 cost 4.21870326996, inc2 cost 4.2151594162
Epoch 51: Train cost 0.103464521468, Train acc 0.998134328358, test acc 0.677611940299
global cost 5.91509580612, inc1 cost 4.21933174133, inc2 cost 4.21480751038
