
start time is: 2017-12-22 11:27:40

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1222train_1.conf
learning_rate = 0.001
batch_size = 14
num_epoches = 90
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model_2.pkl

其余要说明的事项 ：learning rate decay,l2正则化,增大batch_size。
Epoch 72: Train cost 3.8397397995, Train acc 0.998694029851, test acc 0.724626865672
Epoch 73: Train cost 3.83964204788, Train acc 0.998134328358, test acc 0.726119402985
Epoch 74: Train cost 3.83845472336, Train acc 0.999067164179, test acc 0.726865671642
Epoch 75: Train cost 3.8378932476, Train acc 0.999067164179, test acc 0.726119402985
Epoch 76: Train cost 3.83721137047, Train acc 0.999813432836, test acc 0.726119402985
Epoch 77: Train cost 3.83813738823, Train acc 0.998880597015, test acc 0.726119402985
Epoch 78: Train cost 3.83756899834, Train acc 0.999067164179, test acc 0.726119402985
Epoch 79: Train cost 3.83722186089, Train acc 0.998694029851, test acc 0.726119402985
Epoch 80: Train cost 3.83812141418, Train acc 0.998320895522, test acc 0.726119402985
Epoch 81: Train cost 3.83708620071, Train acc 0.998694029851, test acc 0.725373134328
Epoch 82: Train cost 3.83629417419, Train acc 0.999253731343, test acc 0.725373134328
Epoch 83: Train cost 3.83651185036, Train acc 0.999253731343, test acc 0.725373134328
Epoch 84: Train cost 3.83656835556, Train acc 0.998694029851, test acc 0.725373134328
Epoch 85: Train cost 3.83659029007, Train acc 0.998694029851, test acc 0.726865671642
Epoch 86: Train cost 3.83614397049, Train acc 0.999253731343, test acc 0.727611940299
Epoch 87: Train cost 3.83594250679, Train acc 0.999067164179, test acc 0.726865671642
Epoch 88: Train cost 3.83520388603, Train acc 0.999253731343, test acc 0.726119402985
Epoch 89: Train cost 3.83589696884, Train acc 0.998880597015, test acc 0.726865671642
we get best accuracy 0.744776119403 , at the 27 epoch
the model has been saved !
experiment end time is: 2017-12-23 02:22:55
the program run total 53714 seconds .
