start time is: 2017-12-20 10:23:24

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/1220train_1.conf
learning_rate = 0.001
batch_size = 26
num_epoches = 200
model_file :/home/ubuntu/wangchen/work/Indoor/models/best_model.pkl

其余要说明的事项 ：微调place预训练的权重,learning decay指数下降,l2正则化。
Epoch 70: Train cost 0.0287959706038, Train acc 0.998694029851, test acc 0.755970149254
Epoch 71: Train cost 0.0291102547199, Train acc 0.999067164179, test acc 0.767910447761
Epoch 72: Train cost 0.0298513099551, Train acc 0.997947761194, test acc 0.757462686567
Epoch 73: Train cost 0.0296239275485, Train acc 0.998694029851, test acc 0.761194029851
Epoch 74: Train cost 0.0288664847612, Train acc 0.999253731343, test acc 0.773134328358
Epoch 75: Train cost 0.0291316732764, Train acc 0.998507462687, test acc 0.767164179104
Epoch 76: Train cost 0.029388660565, Train acc 0.998507462687, test acc 0.766417910448
Epoch 77: Train cost 0.0290059465915, Train acc 0.998134328358, test acc 0.762686567164
Epoch 78: Train cost 0.0285675488412, Train acc 0.998880597015, test acc 0.764925373134
Epoch 79: Train cost 0.0296295937151, Train acc 0.998320895522, test acc 0.763432835821
Epoch 80: Train cost 0.0291824210435, Train acc 0.998320895522, test acc 0.761194029851
Epoch 81: Train cost 0.028709821403, Train acc 0.998694029851, test acc 0.761940298507
Epoch 82: Train cost 0.0289788264781, Train acc 0.998880597015, test acc 0.764925373134
Epoch 83: Train cost 0.0295687969774, Train acc 0.998694029851, test acc 0.763432835821
Epoch 84: Train cost 0.0287218298763, Train acc 0.998694029851, test acc 0.760447761194
Epoch 85: Train cost 0.0280973408371, Train acc 0.999440298507, test acc 0.763432835821
Epoch 86: Train cost 0.0289562288672, Train acc 0.998134328358, test acc 0.763432835821
Epoch 87: Train cost 0.0286919176579, Train acc 0.998880597015, test acc 0.767164179104
Epoch 88: Train cost 0.0288017615676, Train acc 0.999253731343, test acc 0.769402985075
Epoch 89: Train cost 0.0295000821352, Train acc 0.998507462687, test acc 0.768656716418
Epoch 90: Train cost 0.0286005157977, Train acc 0.998320895522, test acc 0.764179104478
Epoch 91: Train cost 0.0291179381311, Train acc 0.998507462687, test acc 0.763432835821
Epoch 92: Train cost 0.0306413210928, Train acc 0.99776119403, test acc 0.748507462687
Epoch 93: Train cost 0.0284260045737, Train acc 0.999067164179, test acc 0.758208955224
Epoch 94: Train cost 0.0290099475533, Train acc 0.998507462687, test acc 0.766417910448
Epoch 95: Train cost 0.0293109305203, Train acc 0.998320895522, test acc 0.770149253731
